ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AVG_CR_BALANCE,AVG_DR_BALANCE,INT_RATE,INT_EXPENSE,INT_INCOME,ACCT_OPEN_DATE _OPEN_EFFECTIVE_DATE,GL_SUB_HEAD_CODE,MATURITY_DATE,CRNCY,A/C_CLASSIFICATION,CR_INT_RATE,DR_INT_RATE,COUNTRY,INT_CODE,LAST_DAY_IN_DR_BAL,LAST_DAY_IN_DR_BAL.1,INT_PAY_FLAG,INT_COLL_FLAG,CUST_ID,OPENING_BAL.
LA500300012694,SUNTRUST BANK NIGERIA LIMITED,LAA,"-2,558,514.22",0,"2,558,514.22",5.92,0,421.25,3/11/2021,14020,2021-09-07,USD,,0,5.9273,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-2,558,514.22"
LA500300013030,SUNTRUST BANK NIGERIA LIMITED,LAA,"-58,810.39",0,"58,810.39",5.87,0,9.6,5/17/2021,14020,2021-09-23,USD,,0,5.8785,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-58,810.39"
LA500300013225,SUNTRUST BANK NIGERIA LIMITED,LAA,"-67,979.14",0,"67,979.14",5.91,0,11.16,7/9/2021,14020,2021-10-08,USD,,0,5.9123,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-67,979.14"
LA500300012618,SUNTRUST BANK NIGERIA LIMITED,LAA,"-376,206.59",0,"376,206.59",5.93,0,62.05,2/26/2021,14020,2021-10-22,USD,,0,5.9375,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-376,206.59"
LA500300013350,SUNTRUST BANK NIGERIA LIMITED,LAA,"-38,023.75",0,"38,023.75",5.85,0,6.18,8/23/2021,14020,2021-10-22,USD,,0,5.8506,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-38,023.75"
LA500300013182,SUNTRUST BANK NIGERIA LIMITED,LAA,"-81,576.88",0,"81,576.88",5.89,0,13.36,6/25/2021,14020,2021-10-26,USD,,0,5.8973,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-81,576.88"
LA500300013139,SUNTRUST BANK NIGERIA LIMITED,LAA,"-38,328.71",0,"38,328.71",5.91,0,6.29,6/9/2021,14020,2021-11-01,USD,,0,5.9106,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-38,328.71"
LA500300013259,SUNTRUST BANK NIGERIA LIMITED,LAA,"-54,347.35",0,"54,347.35",5.87,0,8.86,7/15/2021,14020,2021-11-01,USD,,0,5.8718,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-54,347.35"
LA500300012989,SUNTRUST BANK NIGERIA LIMITED,LAA,"-157,193.66",0,"157,193.66",5.95,0,26.01,5/7/2021,14020,2021-11-01,USD,,0,5.9566,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-157,193.66"
LA500300013258,SUNTRUST BANK NIGERIA LIMITED,LAA,"-54,347.35",0,"54,347.35",5.87,0,8.86,7/15/2021,14020,2021-11-01,USD,,0,5.8718,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-54,347.35"
LA500300013036,SUNTRUST BANK NIGERIA LIMITED,LAA,"-187,580.25",0,"187,580.25",6.43,0,33.54,5/19/2021,14020,2021-11-01,USD,,0,6.4365,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-187,580.25"
LA500300013271,SUNTRUST BANK NIGERIA LIMITED,LAA,"-96,809.78",0,"96,809.78",5.88,0,15.82,7/20/2021,14020,2021-11-01,USD,,0,5.8843,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-96,809.78"
LA500300013151,SUNTRUST BANK NIGERIA LIMITED,LAA,"-16,272.75",0,"16,272.75",5.9,0,2.67,6/15/2021,14020,2021-11-01,USD,,0,5.903,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-16,272.75"
LA500300013152,SUNTRUST BANK NIGERIA LIMITED,LAA,"-37,002.59",0,"37,002.59",5.9,0,6.07,6/15/2021,14020,2021-11-01,USD,,0,5.903,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-37,002.59"
LA500300013312,SUNTRUST BANK NIGERIA LIMITED,LAA,"-70,528.89",0,"70,528.89",5.87,0,11.5,8/5/2021,14020,2021-11-03,USD,,0,5.8714,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-70,528.89"
LA500300013510,SUNTRUST BANK NIGERIA LIMITED,LAA,"-19,314.22",0,"19,314.22",5.87,0,3.15,9/17/2021,14020,2021-12-03,USD,,0,5.87,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-19,314.22"
LA500300013550,SUNTRUST BANK NIGERIA LIMITED,LAA,"-36,180.00",0,"36,180.00",5.9,0,5.94,9/30/2021,14020,2021-12-10,USD,,0,5.9079,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-36,180.00"
LA500300013582,SUNTRUST BANK NIGERIA LIMITED,LAA,"-55,894.05",0,"55,894.05",5.87,0,9.12,10/12/2021,14020,2021-12-22,USD,,0,5.8736,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-55,894.05"
LA500300013581,SUNTRUST BANK NIGERIA LIMITED,LAA,"-12,497.77",0,"12,497.77",5.87,0,2.04,10/12/2021,14020,2021-12-22,USD,,0,5.8736,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-12,497.77"
LA500300013149,SUNTRUST BANK NIGERIA LIMITED,LAA,"-46,163.25",0,"46,163.25",5.86,0,7.53,6/14/2021,14020,2021-12-22,USD,,0,5.869,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-46,163.25"
LA500300013577,SUNTRUST BANK NIGERIA LIMITED,LAA,"-57,150.00",0,"57,150.00",5.9,0,9.38,10/8/2021,14020,2022-01-07,USD,,0,5.9061,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-57,150.00"
LA500300013578,SUNTRUST BANK NIGERIA LIMITED,LAA,"-41,985.00",0,"41,985.00",5.9,0,6.89,10/8/2021,14020,2022-01-07,USD,,0,5.9061,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-41,985.00"
LA500300013466,HERITAGE BANK PLC INTEREST AND,LAA,"-343,983.75",0,"343,983.75",6.36,0,60.86,9/3/2021,14020,2022-03-02,USD,,0,6.3689,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000142,"-343,983.75"
LA500300013874,SUNTRUST BANK NIGERIA LIMITED,LAA,"-10,780.00",0,"10,780.00",6.14,0,1.84,2/14/2022,14020,2022-05-13,USD,,0,6.1449,NIGERIA,LIBOR,7/5/2022,,N,Y,C000000133,"-10,780.00"
